"BehaviorSpace results (NetLogo 6.0.1)"
"yellowstone-wolf.nlogo"
"InitialExperiment"
"12/06/2019 12:51:39:851 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","grass-growth-rate","movement-cost","num-of-bison","num-of-moose","num-of-sheep","num-of-wolves","nrg-gain-from-grass","num-of-deer","[step]"
"1","0.3","1","20","20","20","15","2","20","3000"
"13","0.3","1","20","20","15","10","2","20","3000"
"31","0.3","1","20","15","15","10","1.5","20","3000"
"12","0.3","1","20","20","15","15","1.5","15","3000"
"33","0.3","1","15","20","20","15","2","20","3000"
"30","0.3","1","20","15","15","10","2","15","3000"
"19","0.3","1","20","15","20","15","1.5","20","3000"
"7","0.3","1","20","20","20","10","1.5","20","3000"
"6","0.3","1","20","20","20","10","2","15","3000"
"16","0.3","1","20","20","15","10","1.5","15","3000"
"24","0.3","1","20","15","20","10","1.5","15","3000"
"5","0.3","1","20","20","20","10","2","20","3000"
"28","0.3","1","20","15","15","15","1.5","15","3000"
"18","0.3","1","20","15","20","15","2","15","3000"
"27","0.3","1","20","15","15","15","1.5","20","3000"
"32","0.3","1","20","15","15","10","1.5","15","3000"
"10","0.3","1","20","20","15","15","2","15","3000"
"11","0.3","1","20","20","15","15","1.5","20","3000"
"22","0.3","1","20","15","20","10","2","15","3000"
"2","0.3","1","20","20","20","15","2","15","3000"
"26","0.3","1","20","15","15","15","2","15","3000"
"3","0.3","1","20","20","20","15","1.5","20","3000"
"21","0.3","1","20","15","20","10","2","20","3000"
"23","0.3","1","20","15","20","10","1.5","20","3000"
"14","0.3","1","20","20","15","10","2","15","3000"
"4","0.3","1","20","20","20","15","1.5","15","3000"
"15","0.3","1","20","20","15","10","1.5","20","3000"
"9","0.3","1","20","20","15","15","2","20","3000"
"17","0.3","1","20","15","20","15","2","20","3000"
"8","0.3","1","20","20","20","10","1.5","15","3000"
"25","0.3","1","20","15","15","15","2","20","3000"
"20","0.3","1","20","15","20","15","1.5","15","3000"
"29","0.3","1","20","15","15","10","2","20","3000"
"37","0.3","1","15","20","20","10","2","20","3000"
"36","0.3","1","15","20","20","15","1.5","15","3000"
"43","0.3","1","15","20","15","15","1.5","20","3000"
"66","0.3","0.5","20","20","20","15","2","15","3000"
"34","0.3","1","15","20","20","15","2","15","3000"
"44","0.3","1","15","20","15","15","1.5","15","3000"
"45","0.3","1","15","20","15","10","2","20","3000"
"40","0.3","1","15","20","20","10","1.5","15","3000"
"42","0.3","1","15","20","15","15","2","15","3000"
"35","0.3","1","15","20","20","15","1.5","20","3000"
"41","0.3","1","15","20","15","15","2","20","3000"
"39","0.3","1","15","20","20","10","1.5","20","3000"
"48","0.3","1","15","20","15","10","1.5","15","3000"
"38","0.3","1","15","20","20","10","2","15","3000"
"68","0.3","0.5","20","20","20","15","1.5","15","677"
"49","0.3","1","15","15","20","15","2","20","3000"
"46","0.3","1","15","20","15","10","2","15","3000"
"50","0.3","1","15","15","20","15","2","15","3000"
"52","0.3","1","15","15","20","15","1.5","15","3000"
"57","0.3","1","15","15","15","15","2","20","3000"
"47","0.3","1","15","20","15","10","1.5","20","3000"
"73","0.3","0.5","20","20","15","15","2","20","509"
"51","0.3","1","15","15","20","15","1.5","20","3000"
"53","0.3","1","15","15","20","10","2","20","3000"
"58","0.3","1","15","15","15","15","2","15","3000"
"80","0.3","0.5","20","20","15","10","1.5","15","559"
